PROGRAMA;CONCURSO;FOLIO;ANOPOSTULACION;ANO FALLO;RESPONSABLE PROYECTO;SEXO_RESPONSABLE;NOMBREINVEQUIPO;ROLINVEQUIPO;SEXOINVEQUIPO;INSTITUCIONEQUIPO
FONDECYT;FONDECYT REGULAR 2016;1160111;2015;2016;ANTONIO ARBEA GAVILAN;HOMBRE;ANTONIO ARBEA GAVILAN;INVESTIGADOR(A) RESPONSABLE;HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160111;2015;2016;ANTONIO ARBEA GAVILAN;HOMBRE;MARIA JOSE BRANES GONZALEZ;COINVESTIGADOR(A);MUJER;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160114;2015;2016;NICOLAS YUTRONIC SAEZ;HOMBRE;NICOLAS YUTRONIC SAEZ;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160114;2015;2016;NICOLAS YUTRONIC SAEZ;HOMBRE;BARBARA ANDREA HERRERA IBARRA;COINVESTIGADOR(A);MUJER;PARTICULAR
FONDECYT;FONDECYT REGULAR 2016;1160114;2015;2016;NICOLAS YUTRONIC SAEZ;HOMBRE;CARLOS MANUEL DIAZ VALENZUELA;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160114;2015;2016;NICOLAS YUTRONIC SAEZ;HOMBRE;PAUL SEBASTIAN JARA VERGARA;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160114;2015;2016;NICOLAS YUTRONIC SAEZ;HOMBRE;MARCELO JAVIER KOGAN;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160115;2015;2016;PABLO SABAT KIRKWOOD;HOMBRE;PABLO SABAT KIRKWOOD;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160115;2015;2016;PABLO SABAT KIRKWOOD;HOMBRE;ROBERTO  NESPOLO ROSSI;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD AUSTRAL DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160115;2015;2016;PABLO SABAT KIRKWOOD;HOMBRE;FRANCISCO BOZINOVIC KUSCEVIC;COINVESTIGADOR(A);HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160117;2015;2016;JUAN VELASQUEZ SILVA;HOMBRE;JUAN VELASQUEZ SILVA;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160122;2015;2016;CLEMENS FRANKEN KURZEN;HOMBRE;CLEMENS FRANKEN KURZEN;INVESTIGADOR(A) RESPONSABLE;HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160122;2015;2016;CLEMENS FRANKEN KURZEN;HOMBRE;MARIA TERESA  STUVEN VATTIER;COINVESTIGADOR(A);MUJER;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160122;2015;2016;CLEMENS FRANKEN KURZEN;HOMBRE;ANNELIESE MEIS WÖRMER;COINVESTIGADOR(A);MUJER;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160122;2015;2016;CLEMENS FRANKEN KURZEN;HOMBRE;RODOLFO BLADIMIR NUNEZ HERNANDEZ;COINVESTIGADOR(A);HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160128;2015;2016;TOMAS ECHAVEGUREN NAVARRO;HOMBRE;TOMAS ECHAVEGUREN;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CONCEPCION
FONDECYT;FONDECYT REGULAR 2016;1160128;2015;2016;TOMAS ECHAVEGUREN NAVARRO;HOMBRE;PATRICIO ALVAREZ MENDOZA;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DEL BIO-BIO
FONDECYT;FONDECYT REGULAR 2016;1160132;2015;2016;GONZALO MIGUEZ CAVIERES;HOMBRE;GONZALO MIGUEZ CAVIERES;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160132;2015;2016;GONZALO MIGUEZ CAVIERES;HOMBRE;MARIO ARTURO LABORDA ROJAS;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160137;2015;2016;FABRIZIO CANFORA;HOMBRE;FABRIZIO CANFORA;INVESTIGADOR(A) RESPONSABLE;HOMBRE;CENTRO DE ESTUDIOS CIENTIFICOS
FONDECYT;FONDECYT REGULAR 2016;1160137;2015;2016;FABRIZIO CANFORA;HOMBRE;JORGE ZANELLI;COINVESTIGADOR(A);HOMBRE;CENTRO DE ESTUDIOS CIENTIFICOS
FONDECYT;FONDECYT REGULAR 2016;1160137;2015;2016;FABRIZIO CANFORA;HOMBRE;ALEX GIACOMINI;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD AUSTRAL DE CHILE
